,Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
1,Elvis Alvarado,27,0,Maj-AL,"Aug 9, 2026",Athletics,@,Boston,1,0,1.0,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,11,0.73,0.0,0.36,0.5,0.0,0.0,0.0,0.0,9.0,,665660
2,Shaun Anderson,31,0,Maj-AL,"Aug 9, 2026",Los Angeles,@,Miami,1,0,,,,1.0,6,6,6,1,2,1,0,54.0,,9,0,0,0,0,0,0,0,0,10,31,0.65,0.23,0.1,0.57,0.29,0.0,7.0,0.833,18.0,2.0,641312
3,Tejay Antone,32,0,Maj-NL,"Aug 9, 2026",Cincinnati,@,Washington,1,0,,,,1.0,3,3,3,1,2,0,0,27.0,,6,1,0,1,0,0,1,0,0,7,27,0.74,0.19,0.22,0.5,0.25,0.0,4.0,0.75,18.0,2.0,622088
4,Aaron Ashby,28,0,Maj-NL,"Aug 9, 2026",Milwaukee,,Minnesota,1,0,,,,1.0,1,0,0,1,3,0,0,0.0,,5,0,0,0,0,0,0,0,0,6,27,0.59,0.15,0.22,1.0,0.0,0.0,2.0,0.5,27.0,3.0,676879
5,Javier Assad,28,0,Maj-NL,"Aug 9, 2026",Chicago,@,Kansas City,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,5,0.8,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,,665871
6,Brady Basso,28,0,Maj-AL,"Aug 9, 2026",Athletics,@,Boston,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,9,0.67,0.0,0.22,0.33,0.67,0.0,0.0,0.0,0.0,,669620
7,Eduard Bazardo,30,0,Maj-AL,"Aug 9, 2026",Seattle,,Tampa Bay,1,0,,,,1.2,2,0,0,0,0,0,0,0.0,,6,0,0,0,1,0,0,0,0,6,21,0.67,0.14,0.05,0.33,0.17,0.17,1.2,0.333,0.0,,660825
8,Brayan Bello,27,0,Maj-AL,"Aug 9, 2026",Boston,,Athletics,1,0,,,,4.0,3,1,1,0,4,0,0,2.25,,15,1,1,0,0,0,0,0,0,15,51,0.67,0.18,0.14,0.73,0.09,0.0,0.75,0.273,9.0,,678394
9,Shane Bieber,31,0,Maj-AL,"Aug 9, 2026",Toronto,@,Philadelphia,1,1,,,,5.2,6,5,5,3,4,2,0,7.94,38,23,0,0,0,0,0,1,0,0,26,97,0.54,0.18,0.09,0.32,0.26,0.21,1.588,0.235,6.4,1.33,669456
10,Jake Bird,30,0,Maj-NL,"Aug 9, 2026",Washington,,Cincinnati,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,12,0.67,0.25,0.17,0.0,0.0,1.0,0.0,0.0,18.0,,656234
11,Paul Blackburn,32,0,Maj-AL,"Aug 9, 2026",New York,,Atlanta,1,0,,1.0,,2.0,1,1,0,0,2,0,0,0.0,,6,0,0,0,0,0,0,1,0,6,23,0.7,0.09,0.09,0.75,0.0,0.0,0.5,0.25,9.0,,621112
12,AJ Blubaugh,25,0,Maj-AL,"Aug 9, 2026",Houston,@,San Diego,1,0,,,,2.0,2,1,1,0,1,1,0,4.5,,8,1,0,0,0,0,0,0,0,8,25,0.72,0.12,0.16,0.29,0.43,0.0,1.0,0.167,4.5,,805123
13,Cam Booser,34,0,Maj-AL,"Aug 9, 2026",Tampa Bay,@,Seattle,1,0,,,,1.0,1,0,0,0,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,14,0.64,0.07,0.21,0.0,0.5,0.0,1.0,0.5,18.0,,592155
14,Matthew Boyd,35,0,Maj-NL,"Aug 9, 2026",Chicago,@,Kansas City,1,1,1.0,,,7.0,5,2,2,3,3,1,0,2.57,59,24,0,1,0,0,0,0,1,1,27,98,0.65,0.19,0.08,0.33,0.33,0.14,1.143,0.2,3.9,1.0,571510
15,Huascar Brazob\xc3\xa1n,36,0,Maj-AL,"Aug 9, 2026",Chicago,,Cleveland,1,0,,,,1.2,0,0,0,0,1,0,0,0.0,,5,0,0,0,0,0,0,0,0,5,22,0.59,0.18,0.14,0.0,0.25,0.0,0.0,0.0,5.4,,623211
16,Justin Bruihl,29,0,Maj-NL,"Aug 9, 2026",St. Louis,,Colorado,1,0,,,,1.1,0,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,9,0.89,0.22,0.22,0.33,0.0,0.0,0.0,0.0,6.8,,677865
17,Brock Burke,29,0,Maj-NL,"Aug 9, 2026",Cincinnati,@,Washington,1,0,,,,1.0,2,1,1,0,2,0,0,9.0,,5,0,0,0,0,0,1,0,1,5,18,0.72,0.11,0.17,0.33,0.33,0.0,2.0,0.667,18.0,,656271
18,Joey Cantillo,26,0,Maj-AL,"Aug 9, 2026",Cleveland,@,Chicago,1,1,,,,1.0,3,1,1,0,3,0,0,9.0,46,6,2,0,0,0,0,1,0,0,6,31,0.68,0.13,0.13,0.33,0.33,0.0,3.0,1.0,27.0,,676282
19,Kervin Castro,27,0,Maj-AL,"Aug 9, 2026",New York,,Atlanta,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,6,1.0,0.17,0.33,1.0,0.0,0.0,0.0,0.0,9.0,,665645
20,Aroldis Chapman,38,0,Maj-AL,"Aug 9, 2026",Boston,,Athletics,1,0,,1.0,,1.0,2,1,1,1,0,0,0,9.0,,5,1,0,0,0,0,1,0,0,6,23,0.52,0.04,0.04,0.4,0.0,0.0,3.0,0.4,0.0,0.0,547973
21,Taylor Clarke,33,0,Maj-NL,"Aug 9, 2026",Arizona,,Los Angeles,1,0,,,,1.0,1,0,0,0,0,0,0,0.0,,3,0,0,0,1,0,0,0,0,3,9,0.67,0.0,0.22,1.0,0.0,0.0,1.0,0.333,0.0,,664199
22,Nick Davila,27,0,Maj-AL,"Aug 9, 2026",Seattle,,Tampa Bay,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,6,1.0,0.33,0.0,0.0,0.0,0.67,0.0,0.0,0.0,,689546
23,Will Dion,26,0,Maj-NL,"Aug 9, 2026",Washington,,Cincinnati,1,0,1.0,,,3.0,1,0,0,0,1,0,0,0.0,,10,1,0,0,0,0,0,0,0,10,41,0.73,0.15,0.12,0.33,0.22,0.0,0.333,0.111,3.0,,702021
24,Randy Dobnak,31,0,Maj-AL,"Aug 9, 2026",Kansas City,,Chicago,1,1,,1.0,,5.0,10,4,4,1,4,0,0,7.2,34,24,1,0,0,0,1,1,0,0,26,94,0.69,0.18,0.06,0.62,0.14,0.0,2.2,0.476,7.2,4.0,677976
25,Dylan Dodd,28,0,Maj-NL,"Aug 9, 2026",Atlanta,@,New York,1,0,,,,0.2,0,0,0,1,1,0,0,0.0,,2,0,0,0,0,0,0,0,0,3,11,0.45,0.18,0.09,0.0,0.0,0.0,1.5,0.0,13.5,1.0,689266
27,Camilo Doval,28,0,Maj-NL,"Aug 9, 2026",Pittsburgh,,New York,1,0,,,,1.0,1,0,0,1,3,0,0,0.0,,4,0,0,0,0,0,0,0,1,5,28,0.57,0.14,0.14,1.0,0.0,0.0,2.0,1.0,27.0,3.0,666808
28,Jhoan Duran,28,0,Maj-NL,"Aug 9, 2026",Philadelphia,,Toronto,1,0,,,,1.0,1,0,0,1,1,0,0,0.0,,3,0,0,0,1,0,0,0,0,4,11,0.45,0.0,0.18,1.0,0.0,0.0,2.0,0.5,9.0,1.0,661395
29,Josh Ekness,24,0,Maj-NL,"Aug 9, 2026",Miami,,Los Angeles,1,0,,,,1.0,1,1,1,1,1,0,0,9.0,,4,0,0,0,0,0,0,0,0,5,13,0.46,0.08,0.08,0.0,0.33,0.0,2.0,0.333,9.0,1.0,694795
30,Lucas Erceg,31,0,Maj-AL,"Aug 9, 2026",Kansas City,,Chicago,1,0,,,,1.0,2,0,0,0,2,0,0,0.0,,5,0,0,0,0,0,0,0,0,5,17,0.71,0.24,0.12,0.33,0.67,0.0,2.0,0.667,18.0,,668674
